S.no,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,Target
44,6000,4,2,4,1,2,2,no,2,2,no,semi,7700000
45,6000,4,2,4,1,2,2,no,1,1,no,full,7560000
46,6000,3,2,3,1,2,2,no,1,0,no,semi,7560000
47,6000,3,2,4,1,2,2,no,1,1,no,full,7525000
48,6600,3,1,4,1,2,2,no,1,3,yes,full,7490000
49,4300,??,2,2,1,2,1,no,2,1,no,empty,7455000
50,7440,3,2,1,1,1,1,no,1,0,yes,semi,7420000
51,7440,3,2,4,1,2,2,no,2,1,yes,empty,7420000
52,6325,3,1,4,1,2,2,no,1,1,no,empty,7420000
53,6000,4,2,4,1,1,2,no,1,1,no,full,7350000
54,5150,3,2,4,1,2,2,no,1,2,no,semi,7350000
55,6000,3,2,2,1,1,2,no,1,1,no,semi,7350000
56,6000,3,1,2,1,2,2,no,1,1,no,empty,7350000
57,11440,4,1,2,1,2,1,no,2,1,yes,semi,7343000
58,9000,4,2,4,1,1,2,no,1,1,yes,full,7245000
59,7680,4,2,4,1,1,2,no,1,1,no,semi,7210000
60,6000,3,2,4,1,1,2,no,1,1,no,full,7210000
61,6000,3,2,2,1,1,2,no,2,1,no,semi,7140000
62,8880,2,1,1,1,2,2,no,1,1,no,semi,7070000
63,6240,4,2,2,1,2,2,no,1,1,no,full,7070000
64,6360,4,2,3,1,2,2,no,1,2,yes,full,7035000
65,11175,3,1,1,1,2,1,no,1,1,yes,full,7000000
66,8880,3,2,2,1,2,1,no,1,1,no,full,6930000
67,13200,2,1,1,1,2,1,yes,2,1,no,full,6930000
68,7700,3,2,1,1,2,2,no,2,2,no,empty,6895000
69,6000,3,1,1,1,2,2,no,1,1,no,full,6860000
70,12090,4,2,2,1,2,2,no,2,2,yes,full,6790000
71,4000,3,2,2,1,2,1,no,1,0,yes,semi,6790000
72,6000,4,2,4,1,2,2,no,1,0,no,empty,6755000
73,5020,3,1,4,1,2,2,no,1,0,yes,empty,6720000
74,6600,2,2,4,1,2,1,no,2,0,yes,full,6685000
75,4040,3,1,2,1,2,1,yes,2,1,no,full,6650000
76,4260,4,2,2,1,2,2,yes,2,0,no,semi,6650000
77,6420,3,2,3,1,2,2,no,1,0,yes,full,6650000
78,6500,3,2,3,1,2,2,no,1,0,yes,full,6650000
79,5700,3,1,1,1,1,1,no,1,2,yes,full,6650000
80,6000,3,2,3,1,1,2,no,1,0,no,full,6650000
81,6000,3,1,2,1,2,2,yes,2,1,yes,semi,6629000
82,4000,3,2,2,1,2,1,no,1,1,no,semi,6615000
83,10500,3,2,1,1,2,1,no,1,1,yes,full,6615000
84,6000,3,2,4,1,2,2,no,1,0,no,semi,6580000
85,3760,3,1,2,1,2,2,yes,2,2,no,semi,6510000
86,8250,3,2,3,1,2,2,no,1,0,no,full,6510000
87,6670,3,1,3,1,2,1,no,2,0,yes,empty,6510000
88,3960,3,1,1,1,2,1,no,2,2,no,semi,6475000
89,7410,3,1,1,1,1,1,no,1,2,yes,empty,6475000
90,8580,5,3,2,1,2,2,no,2,2,no,full,6440000
91,5000,3,1,2,1,2,2,no,1,0,no,semi,6440000
92,6750,2,1,1,1,1,1,no,2,2,yes,full,6419000
93,4800,3,2,4,1,1,2,no,1,0,no,full,6405000
94,7200,3,2,1,1,2,1,no,1,3,no,semi,6300000
95,6000,4,2,4,1,2,2,no,2,1,no,semi,6300000
96,4100,3,2,3,1,2,2,no,1,2,no,semi,6300000
97,9000,3,1,1,1,2,1,no,2,1,yes,full,6300000
98,6400,3,1,1,1,1,1,no,1,1,yes,semi,6300000
99,6600,3,2,3,1,2,2,no,1,0,yes,empty,6293000
100,6000,4,1,3,1,1,1,no,2,0,yes,empty,6265000
101,6600,3,2,1,1,2,1,no,1,0,yes,empty,6230000
102,5500,3,1,3,1,2,2,no,2,1,yes,empty,6230000
103,5500,3,2,4,1,1,2,no,1,1,no,semi,6195000
104,6350,3,2,3,1,1,2,no,1,0,no,full,6195000
105,5500,3,2,1,1,1,1,no,2,2,yes,full,6195000
106,4500,3,1,4,1,2,2,no,1,0,no,empty,6160000
107,5450,4,2,1,1,2,1,no,1,0,yes,semi,6160000
108,6420,3,1,3,1,2,1,no,2,0,yes,empty,6125000
109,3240,4,1,3,1,2,2,no,2,1,no,semi,6107500
110,6615,4,2,2,1,1,2,yes,2,1,no,semi,6090000
111,6600,3,1,1,1,1,1,no,2,2,yes,semi,6090000
112,8372,3,1,3,1,2,2,no,1,2,no,empty,6090000
113,4300,6,2,2,1,2,2,no,2,0,no,full,6083000
114,9620,3,1,1,1,2,1,no,2,2,yes,full,6083000
115,6800,2,1,1,1,1,1,no,2,2,no,full,6020000
116,8000,3,1,1,1,1,1,no,1,2,yes,semi,6020000
117,6900,3,2,1,1,1,1,no,2,0,yes,empty,6020000
118,3700,4,1,2,1,1,2,no,1,0,no,full,5950000
119,6420,3,1,1,1,2,1,no,1,0,yes,full,5950000
120,7020,3,1,1,1,2,1,no,1,2,yes,semi,5950000
121,6540,3,1,1,1,1,1,no,2,2,yes,full,5950000
122,7231,3,1,2,1,1,1,no,1,0,yes,semi,5950000
123,6254,4,2,1,1,2,1,no,2,1,yes,semi,5950000
124,7320,4,2,2,1,2,2,no,2,0,no,full,5950000
125,6525,3,2,4,1,2,2,no,2,1,no,full,5950000
126,15600,3,1,1,1,2,2,no,1,2,no,semi,5943000
127,7160,3,1,1,1,2,1,no,2,2,yes,empty,5880000
128,6500,3,2,3,1,2,2,no,1,0,no,empty,5880000
129,5500,3,1,3,1,1,2,no,1,1,no,full,5873000
130,11460,3,1,3,1,2,2,no,2,2,yes,semi,5873000
131,4800,3,1,1,1,1,1,no,2,0,no,,5866000
132,5828,4,1,4,1,1,2,no,2,0,no,semi,5810000
133,5200,3,1,3,1,2,2,no,1,0,no,semi,5810000
134,4800,3,1,3,1,2,2,no,1,0,no,empty,5810000
135,7000,3,1,1,1,2,1,no,2,2,yes,semi,5803000
136,6000,3,2,4,1,2,2,no,1,0,no,empty,5775000
137,5400,4,2,2,1,2,2,no,1,2,no,empty,5740000
138,4640,4,1,2,1,2,2,no,2,1,no,semi,5740000
139,5000,3,1,3,1,2,2,no,1,0,no,semi,5740000
140,6360,3,1,1,1,1,1,no,1,2,yes,full,5740000
141,5800,3,2,4,1,2,2,no,1,0,no,empty,5740000
142,6660,4,2,2,1,1,1,no,2,1,yes,semi,5652500
143,10500,4,2,2,1,2,2,no,2,1,no,semi,5600000
144,4800,5,2,3,2,2,1,yes,2,0,no,empty,5600000
145,4700,4,1,2,1,1,1,no,1,1,no,full,5600000
146,5000,3,1,4,1,2,2,no,2,0,no,full,5600000
147,10500,2,1,1,1,2,2,no,2,1,no,semi,5600000
148,5500,3,2,2,1,2,2,no,2,1,no,semi,5600000
149,6360,3,1,3,1,2,2,no,2,0,yes,semi,5600000
150,6600,4,2,1,1,2,1,no,2,0,yes,semi,5600000
151,5136,3,1,2,1,1,1,no,1,0,yes,empty,5600000
152,4400,4,1,2,1,2,2,no,1,2,yes,semi,5565000
153,5400,5,1,2,1,1,1,no,1,0,yes,full,5565000
154,3300,3,3,2,1,2,1,no,2,0,no,semi,5530000
155,3650,3,2,2,1,2,2,no,2,2,no,semi,5530000
156,6100,3,2,1,1,2,1,no,2,2,yes,full,5530000
157,6900,3,1,1,1,1,1,no,2,0,yes,semi,5523000
158,2817,4,2,2,2,1,1,no,2,1,no,full,5495000
159,7980,3,1,1,1,2,2,no,2,2,no,semi,5495000
160,3150,3,2,1,1,1,1,no,1,0,no,full,5460000
161,6210,4,1,4,1,1,2,no,1,0,no,full,5460000
162,6100,3,1,3,1,1,2,no,1,0,yes,semi,5460000
163,6600,4,2,2,1,1,1,no,2,0,yes,semi,5460000
164,6825,3,1,1,1,1,1,no,1,0,yes,semi,5425000
165,6710,3,2,2,1,1,1,no,2,1,yes,full,5390000
166,6450,3,2,1,1,1,1,yes,2,0,no,empty,5383000
167,7800,3,1,1,1,2,1,no,1,2,yes,empty,5320000
168,4600,2,2,1,1,2,2,no,1,2,no,semi,5285000
169,4260,4,1,2,1,2,1,no,1,0,no,full,5250000
170,6540,4,2,2,2,2,2,no,1,0,no,semi,5250000
171,5500,3,2,1,1,2,1,no,2,0,no,semi,5250000
172,10269,3,1,1,1,2,2,no,2,1,yes,semi,5250000
173,8400,3,1,2,1,1,1,no,1,2,yes,empty,5250000
174,5300,4,2,1,1,2,2,no,1,0,yes,empty,5250000
175,3800,3,1,2,1,1,1,no,2,1,yes,empty,5250000
176,9800,4,2,2,1,1,2,no,2,2,no,semi,5250000
177,8520,3,1,1,1,2,2,no,1,2,no,full,5250000
178,6050,3,1,1,1,2,1,no,2,0,yes,semi,5243000
179,7085,3,1,1,1,1,1,no,2,2,yes,semi,5229000
180,3180,3,2,2,1,2,2,no,2,2,no,semi,5215000
181,4500,4,2,1,2,2,1,no,1,2,no,semi,5215000
182,7200,3,1,2,1,1,1,no,2,1,yes,full,5215000
183,3410,3,1,2,2,2,2,no,1,0,no,semi,5145000
184,7980,3,1,1,1,2,2,no,2,1,yes,semi,5145000
185,3000,3,2,2,1,1,1,no,2,0,no,full,5110000
186,3000,3,1,2,1,2,1,no,2,0,no,empty,5110000
187,11410,2,1,2,1,2,2,no,2,0,yes,full,5110000
188,6100,3,1,1,1,2,1,no,1,0,yes,semi,5110000
189,5720,2,1,2,1,2,2,no,1,0,yes,empty,5075000
190,3540,2,1,1,2,1,1,no,2,0,no,semi,5040000
191,7600,4,1,2,1,2,two,no,1,2,no,full,5040000
192,10700,3,1,2,1,1,1,no,2,0,no,semi,5040000
193,6600,3,1,1,1,1,1,no,2,0,yes,full,5040000
194,4800,2,1,1,1,1,1,no,2,0,no,semi,5033000
195,8150,3,2,1,1,1,1,no,2,0,no,semi,5005000
196,4410,4,3,2,1,2,1,no,2,2,no,semi,4970000
197,7686,3,1,1,1,1,1,yes,2,0,no,semi,4970000
198,2800,3,2,2,2,2,1,no,1,1,no,semi,4956000
199,5948,3,1,2,1,2,2,no,1,0,no,semi,4935000
200,4200,3,1,2,1,2,2,no,2,1,no,full,4907000
201,4520,3,1,2,1,2,1,no,1,0,no,semi,4900000
202,4095,3,1,2,2,1,1,no,1,0,no,semi,4900000
203,4120,2,1,1,1,2,1,no,2,1,no,semi,4900000
204,5400,4,1,2,1,2,2,no,2,0,no,semi,4900000
205,4770,3,1,1,1,1,1,no,2,0,no,semi,4900000
206,6300,3,1,1,1,2,2,no,1,2,no,semi,4900000
207,5800,2,1,1,1,1,1,no,1,0,no,semi,4900000
208,3000,3,1,2,1,2,1,no,1,0,no,semi,4900000
209,2970,3,1,3,1,2,2,no,2,0,no,semi,4900000
210,6720,3,1,1,1,2,2,no,2,0,no,empty,4900000
211,4646,3,1,2,1,1,1,no,2,2,no,semi,4900000
212,12900,3,1,1,1,2,2,no,2,2,no,full,4900000
213,3420,4,2,2,1,2,1,no,1,2,no,semi,4893000
214,4995,4,2,1,1,2,1,no,2,0,no,semi,4893000
215,4350,2,1,1,1,2,1,no,2,0,no,empty,4865000
216,4160,3,1,3,1,2,2,no,2,0,no,empty,4830000
217,6040,3,1,1,1,2,two,no,2,2,yes,semi,4830000
218,6862,3,1,2,1,2,2,no,1,2,yes,full,4830000
219,4815,2,1,1,1,2,2,no,1,0,yes,semi,4830000
220,7000,3,1,2,1,2,1,no,2,0,no,,4795000
221,8100,4,1,4,1,2,1,no,1,2,no,semi,4795000
222,3420,4,2,2,1,2,2,no,2,0,no,semi,4767000
223,9166,2,1,1,1,2,1,no,1,2,no,semi,4760000
224,6321,3,1,2,1,2,1,no,1,1,no,full,4760000
225,10240,2,1,1,1,2,2,no,1,2,yes,empty,4760000
226,6440,2,1,1,1,2,2,no,1,3,no,semi,4753000
227,5170,3,1,4,1,2,2,no,1,0,no,semi,4690000
228,6000,2,1,1,1,2,1,no,1,1,no,full,4690000
229,3630,3,1,2,1,2,2,no,2,2,no,semi,4690000
230,9667,4,2,2,1,1,1,no,2,1,no,semi,4690000
231,5400,2,1,2,1,2,2,no,2,0,yes,semi,4690000
232,4320,3,1,1,1,2,2,no,2,0,yes,semi,4690000
233,3745,3,1,2,1,2,1,no,2,0,no,full,4655000
234,4160,3,1,1,1,1,1,no,1,0,no,empty,4620000
235,3880,3,2,2,1,2,1,no,2,2,no,semi,4620000
236,5680,3,1,2,1,1,2,no,1,1,no,semi,4620000
237,2870,2,1,2,1,1,1,no,2,0,yes,semi,4620000
238,5010,3,1,2,1,2,1,no,2,0,no,semi,4620000
239,4510,4,2,2,1,2,1,no,2,0,no,semi,4613000
240,4000,3,1,2,1,2,two,no,2,1,no,full,4585000
241,3840,3,1,2,1,2,2,no,2,1,yes,semi,4585000
242,3760,3,1,1,1,2,2,no,2,2,no,semi,4550000
243,3640,3,1,2,1,2,2,no,1,0,no,full,4550000
244,2550,3,1,2,1,2,1,no,2,0,no,full,4550000
245,5320,3,1,2,1,1,1,no,2,0,yes,semi,4550000
246,5360,??,1,2,1,2,2,no,2,2,yes,empty,4550000
247,3520,3,1,1,1,2,2,no,2,0,yes,semi,4550000
248,8400,4,1,4,1,2,2,no,2,3,no,empty,4550000
249,4100,2,2,1,1,1,1,no,2,0,no,semi,4543000
250,4990,4,2,2,1,1,1,no,2,0,yes,full,4543000
251,3510,3,1,3,1,2,2,no,2,0,no,semi,4515000
252,3450,3,1,2,1,2,1,no,2,1,no,semi,4515000
253,9860,3,1,1,1,2,2,no,2,0,no,semi,4515000
254,3520,2,1,2,1,2,2,no,2,0,yes,full,4515000
255,4510,4,1,2,1,2,2,no,1,2,no,semi,4480000
256,5885,2,1,1,1,2,2,no,1,1,no,empty,4480000
257,4000,3,1,2,1,2,2,no,2,2,no,full,4480000
258,8250,3,1,1,1,2,2,no,2,0,no,full,4480000
259,4040,3,1,2,1,2,2,no,2,1,no,semi,4480000
260,6360,2,1,1,1,2,1,no,1,1,no,full,4473000
261,3162,3,1,2,1,2,2,no,1,1,no,full,4473000
262,3510,3,1,2,1,2,2,no,2,0,no,semi,4473000
263,3750,2,1,1,1,1,1,no,2,0,no,semi,4445000
264,3968,3,1,2,2,2,2,no,2,0,no,semi,4410000
265,4900,2,1,2,1,2,1,no,2,0,no,semi,4410000
266,2880,3,1,2,1,2,2,no,2,0,yes,semi,4403000
267,4880,3,1,1,1,2,2,no,2,2,yes,empty,4403000
268,4920,3,1,2,1,2,2,no,2,1,no,semi,4403000
269,4950,4,1,2,1,2,2,no,1,0,no,semi,4382000
270,3900,3,1,2,1,2,2,no,2,0,no,empty,4375000
271,4500,3,2,3,1,2,2,yes,2,1,no,full,4340000
272,1905,5,1,2,2,2,1,no,2,0,no,semi,4340000
273,4075,3,1,1,1,1,1,no,2,2,no,semi,4340000
274,3500,4,1,2,1,2,2,no,2,2,no,full,4340000
275,6450,4,1,2,1,2,2,no,2,0,no,semi,4340000
276,4032,2,1,1,1,2,1,no,2,0,no,full,4319000
277,4400,2,1,1,1,2,2,no,2,1,no,semi,4305000
278,10360,2,1,1,1,2,2,no,2,1,yes,semi,4305000
279,3400,3,1,2,1,2,1,no,2,2,yes,semi,4277000
280,6360,2,1,1,1,2,2,no,2,0,no,full,4270000
281,6360,2,1,2,1,2,2,no,2,0,no,empty,4270000
282,4500,2,1,1,1,2,2,no,1,2,no,full,4270000
283,2175,3,1,2,2,1,1,no,1,0,no,empty,4270000
284,4360,4,1,2,1,2,2,no,2,0,no,full,4270000
285,7770,2,1,1,1,2,2,no,2,1,no,full,4270000
286,6650,3,1,2,1,1,2,no,2,0,no,semi,4235000
287,2787,3,1,1,1,2,1,no,2,0,yes,full,4235000
288,5500,3,1,2,1,2,2,no,1,0,no,empty,4200000
289,5040,3,1,2,1,2,1,no,1,0,no,empty,4200000
290,5850,2,1,1,1,1,1,no,2,2,no,semi,4200000
291,2610,4,3,2,2,2,2,no,2,0,no,semi,4200000
292,2953,3,1,2,1,2,1,no,1,0,no,empty,4200000
293,2747,4,2,2,2,2,2,no,2,0,no,semi,4200000
294,4410,2,1,1,2,2,2,no,2,1,no,empty,4200000
295,4000,4,2,2,2,2,2,no,2,0,no,semi,4200000
296,2325,3,1,2,2,2,2,no,2,0,no,semi,4200000
297,4600,3,2,2,1,2,2,no,1,1,no,semi,4200000
298,3640,3,2,2,1,2,1,no,2,0,no,empty,4200000
299,5800,3,1,1,1,2,2,yes,2,2,no,semi,4200000
300,7000,3,1,1,1,2,2,no,2,3,no,full,4200000
301,4079,3,1,3,1,2,2,no,2,0,no,semi,4200000
302,3520,3,1,2,1,2,2,no,2,0,yes,semi,4200000
303,2145,3,1,3,1,2,2,no,2,1,yes,empty,4200000
304,4500,3,1,1,1,2,1,no,2,0,no,full,4200000
305,8250,3,1,1,1,2,1,no,2,3,no,semi,4193000
306,3450,3,1,2,1,2,2,no,2,1,no,semi,4193000
307,4840,3,1,2,1,2,2,no,2,1,no,semi,4165000
308,4080,3,1,2,1,2,2,no,2,2,no,semi,4165000
309,4046,3,1,2,1,2,1,no,2,1,no,semi,4165000
310,4632,4,1,2,1,2,2,no,1,0,no,semi,4130000
311,5985,3,1,1,1,2,1,no,2,0,no,semi,4130000
312,6060,2,1,1,1,2,1,no,2,1,no,semi,4123000
313,3600,3,1,1,1,2,1,no,1,0,yes,full,4098500
314,3680,3,2,2,1,2,2,no,2,0,no,semi,4095000
315,4040,2,1,2,1,2,2,no,2,1,no,semi,4095000
316,5600,2,1,1,1,2,2,no,1,0,no,semi,4095000
317,5900,4,2,2,2,2,1,no,2,1,no,empty,4060000
318,4992,3,2,2,1,2,2,no,2,2,no,empty,4060000
319,4340,3,1,1,1,2,2,no,2,0,no,semi,4060000
320,3000,4,1,3,1,2,1,no,1,2,no,semi,4060000
321,4320,3,1,2,1,2,2,no,2,2,yes,full,4060000
322,3630,3,2,2,1,2,2,yes,2,2,no,semi,4025000
323,3460,3,2,1,1,2,1,no,1,1,no,full,4025000
324,5400,3,1,1,1,2,2,no,2,3,no,semi,4025000
325,4500,3,1,2,2,2,1,no,1,0,no,semi,4007500
326,3460,4,1,2,1,2,2,no,1,0,no,semi,4007500
327,4100,4,1,1,2,2,1,no,2,0,no,empty,3990000
328,6480,3,1,2,2,2,2,no,1,1,no,semi,3990000
329,4500,3,2,2,2,2,1,no,1,0,no,semi,3990000
330,3960,3,1,2,1,2,2,no,2,0,no,full,3990000
331,4050,2,1,2,1,1,1,no,2,0,yes,empty,3990000
332,7260,3,2,1,1,1,1,no,2,3,no,full,3920000
333,5500,4,1,2,1,1,1,no,2,0,no,semi,3920000
334,3000,3,1,2,1,2,2,no,2,0,no,semi,3920000
335,3290,2,1,1,1,2,2,yes,2,1,no,full,3920000
336,3816,2,1,1,1,2,1,no,1,2,no,full,3920000
337,8080,3,1,1,1,2,2,no,1,2,no,semi,3920000
338,2145,4,-,1,1,2,1,no,2,0,yes,empty,3920000
339,3780,2,1,2,1,1,1,no,2,0,no,semi,3885000
340,3180,4,2,2,1,2,2,no,2,0,no,full,3885000
341,5300,5,2,2,1,2,2,no,2,0,no,semi,3850000
342,3180,2,2,1,1,2,1,no,2,2,no,semi,3850000
343,7152,3,1,2,1,2,2,no,1,0,no,full,3850000
344,4080,2,1,1,1,2,2,no,2,0,no,semi,3850000
345,3850,2,1,1,1,2,2,no,2,0,no,semi,3850000
346,2015,3,1,2,1,2,1,no,2,0,yes,semi,3850000
347,2176,2,1,2,1,1,2,no,2,0,yes,semi,3850000
348,3350,3,1,2,1,2,2,no,2,0,no,empty,3836000
349,3150,2,2,1,2,2,1,no,2,0,no,semi,3815000
350,4820,3,1,2,1,2,2,no,2,0,no,semi,3780000
351,3420,2,1,2,1,2,2,yes,2,1,no,semi,3780000
352,3600,2,1,1,1,2,2,no,2,0,no,semi,3780000
353,5830,2,1,1,1,2,2,no,2,2,no,empty,3780000
354,2856,3,1,???,1,2,2,no,2,0,yes,full,3780000
355,8400,2,1,1,1,2,2,no,2,1,no,full,3780000
356,8250,3,1,1,1,2,2,no,2,2,no,full,3773000
357,2520,5,2,1,2,2,1,no,1,1,no,full,3773000
358,6930,4,1,2,2,2,2,no,2,1,no,full,3773000
359,3480,2,1,1,1,2,2,no,2,0,yes,semi,3745000
360,3600,3,1,1,1,2,2,no,2,1,no,empty,3710000
361,4040,2,1,1,1,2,2,no,2,0,no,semi,3710000
362,6020,3,1,1,1,2,2,no,2,0,no,semi,3710000
363,4050,2,1,1,1,2,2,no,2,0,no,full,3710000
364,3584,2,1,1,1,2,2,yes,2,0,no,semi,3710000
365,3120,3,1,2,??,2,1,yes,2,0,no,semi,3703000
366,5450,2,1,1,1,2,2,no,2,0,no,full,3703000
367,3630,2,1,1,1,2,1,no,2,0,no,full,3675000
368,3630,2,1,1,1,2,2,no,1,0,no,empty,3675000
369,5640,2,1,1,2,2,2,no,2,0,no,semi,3675000
370,3600,2,1,1,1,2,2,no,2,0,no,full,3675000
371,4280,??,1,1,1,2,2,no,1,2,no,semi,3640000
372,3570,3,1,2,1,2,1,no,2,0,no,semi,3640000
373,3180,3,1,2,2,2,1,no,2,0,no,semi,3640000
374,3000,2,1,2,1,2,2,no,1,0,no,full,3640000
375,3520,2,2,1,1,2,1,no,2,0,no,semi,3640000
376,5960,3,1,2,1,1,1,no,2,0,no,empty,3640000
377,4130,3,2,2,1,2,2,no,2,2,no,semi,3640000
378,2850,3,2,2,2,2,1,no,2,0,yes,empty,3640000
379,2275,3,1,3,1,2,2,yes,1,0,yes,semi,3640000
380,3520,3,1,1,1,2,2,no,2,2,yes,empty,3633000
381,4500,2,1,1,1,2,2,no,2,0,no,semi,3605000
382,4000,2,1,1,1,2,2,no,2,0,yes,semi,3605000
383,3150,3,1,2,1,2,1,no,2,0,no,full,3570000
384,4500,4,2,2,1,2,1,no,2,2,no,full,3570000
385,4500,2,1,1,2,2,2,no,2,0,no,full,3570000
386,3640,2,1,1,1,2,2,no,2,0,no,empty,3570000
387,3850,3,1,1,1,2,2,no,2,2,no,empty,3535000
388,4240,3,1,2,1,2,2,no,1,0,no,semi,3500000
389,3650,3,1,2,1,2,2,no,2,0,no,empty,3500000
390,4600,4,1,2,1,2,2,no,2,0,no,semi,3500000
391,2135,3,2,2,2,2,2,no,2,0,no,empty,3500000
392,3036,3,1,2,1,2,1,no,2,0,no,semi,3500000
393,3990,3,1,2,1,2,2,no,2,0,no,semi,3500000
394,7424,3,1,1,2,2,2,no,2,0,no,empty,3500000
395,3480,3,1,1,2,2,2,no,1,0,no,empty,3500000
396,3600,60,1,2,1,2,2,no,2,1,no,empty,3500000
397,3640,2,1,1,1,2,2,no,2,1,no,semi,3500000
398,5900,2,1,1,1,2,2,no,2,1,no,full,3500000
399,3120,3,1,2,1,2,2,no,2,1,no,empty,3500000
400,7350,2,1,1,1,2,2,no,2,1,no,semi,3500000
401,3512,2,1,???,1,2,2,no,2,1,yes,empty,3500000
402,9500,3,1,2,1,2,2,no,2,3,yes,empty,3500000
403,5880,2,1,1,1,2,2,no,2,0,no,empty,3500000
404,12944,3,1,1,1,2,2,no,2,0,no,empty,3500000
405,4900,3,1,2,2,2,2,no,2,0,no,empty,3493000
406,3060,3,1,1,1,2,2,no,2,0,no,empty,3465000
407,5320,2,1,1,1,2,2,no,2,1,yes,empty,3465000
408,2145,3,1,3,1,2,2,no,2,0,yes,full,3465000
409,4000,2,1,1,1,2,2,no,2,0,no,empty,3430000
410,3185,2,1,1,1,2,2,no,2,2,no,empty,3430000
411,3850,3,1,1,1,2,2,no,2,0,no,empty,3430000
412,2145,3,-,3,1,2,2,no,2,0,yes,full,3430000
413,2610,3,1,2,1,2,1,no,2,0,yes,empty,3430000
414,1950,3,2,2,1,2,1,no,2,0,yes,empty,3430000
415,4040,2,1,1,1,2,2,no,2,0,no,empty,3423000
416,4785,3,1,2,1,1,1,no,1,1,no,full,3395000
417,3450,3,1,1,1,2,1,no,2,2,no,empty,3395000
418,3640,2,1,1,1,2,2,no,2,0,no,full,3395000
419,3500,4,1,2,1,2,2,no,1,2,no,empty,3360000
420,4960,4,1,3,2,2,2,no,2,0,no,semi,3360000
421,4120,2,1,2,1,2,2,no,2,0,no,empty,3360000
422,4750,2,1,1,1,2,2,no,2,0,no,empty,3360000
423,3720,2,1,1,2,2,2,no,1,0,no,empty,3360000
424,3750,3,1,1,1,2,2,no,2,0,no,empty,3360000
425,3100,3,1,2,2,2,1,no,2,0,no,semi,3360000
426,3185,2,1,1,1,2,1,no,2,2,no,full,3360000
427,2700,3,1,1,2,2,2,no,2,0,no,full,3353000
428,21450,3,1,2,1,2,1,no,2,0,yes,full,3332000
429,4040,2,1,1,1,2,2,no,2,1,no,empty,3325000
430,4775,4,1,2,1,2,2,no,2,0,no,empty,3325000
431,2500,2,1,1,2,2,2,no,1,0,no,empty,3290000
432,3180,4,1,2,1,2,1,no,1,0,no,empty,3290000
433,6060,3,1,1,1,1,1,no,2,0,no,full,3290000
434,3480,4,1,2,2,2,2,no,2,1,no,semi,3290000
